event_id,ticker,dataset_split,biotech_catalyst_event_type,event_time_original,original_reaction_window_start,sec_acceptance_time,press_release_time,source_publication_time,selected_event_time,selected_event_time_source,release_session,first_tradable_timestamp,reaction_window_start,timestamp_confidence,timestamp_notes,original_reaction_window_before_first_tradable,timestamp_ambiguous,model_eligible,model_exclusion_reason,source_doc_count,source_types,source_url_count,source_hash_count
RCKT_8-K_2024-06-28_0001140361-24-031749,RCKT,original,fda_complete_response_letter,2024-06-28 20:05:20,2024-07-01,2024-06-28T20:05:20+00:00,2024-06-28T20:05:20+00:00,2024-06-28T20:05:20+00:00,2024-06-28T20:05:20+00:00,sec_acceptance_time,after_close,2024-07-01T09:30:00-04:00,2024-07-01,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
EXEL_8-K_2024-08-06_0000939767-24-000116,EXEL,original,trial_discontinuation,2024-08-06 20:08:46,2024-08-07,2024-08-06T20:08:46+00:00,2024-08-06T20:08:46+00:00,2024-08-06T20:08:46+00:00,2024-08-06T20:08:46+00:00,sec_acceptance_time,after_close,2024-08-07T09:30:00-04:00,2024-08-07,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
NVAX_8-K_2024-10-16_0001104659-24-108950,NVAX,original,trial_halt,2024-10-16 12:00:11,2024-10-16,2024-10-16T12:00:11+00:00,2024-10-16T12:00:11+00:00,2024-10-16T12:00:11+00:00,2024-10-16T12:00:11+00:00,sec_acceptance_time,before_open,2024-10-16T09:30:00-04:00,2024-10-16,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
NVAX_8-K_2024-11-12_0001104659-24-116593,NVAX,original,trial_halt,2024-11-12 16:21:24,2024-11-13,2024-11-12T16:21:24+00:00,2024-11-12T16:21:24+00:00,2024-11-12T16:21:24+00:00,2024-11-12T16:21:24+00:00,sec_acceptance_time,intraday,2024-11-13T09:30:00-05:00,2024-11-13,medium,press_release_time_not_separate_from_sec_exhibit_acceptance;intraday_without_intraday_prices_shifted_to_next_trading_day,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
ROIV_8-K_2024-12-03_0001140361-24-048238,ROIV,fresh,phase_2_readout,2024-12-03 12:20:26,2024-12-03,2024-12-03T12:20:26+00:00,2024-12-03T12:20:26+00:00,2024-12-03T12:20:26+00:00,2024-12-03T12:20:26+00:00,sec_acceptance_time,before_open,2024-12-03T09:30:00-05:00,2024-12-03,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
DNLI_8-K_2025-01-07_0001714899-25-000007,DNLI,fresh,phase_3_readout,2025-01-06 23:13:37,2025-01-06,2025-01-06T23:13:37+00:00,2025-01-06T23:13:37+00:00,2025-01-06T23:13:37+00:00,2025-01-06T23:13:37+00:00,sec_acceptance_time,after_close,2025-01-07T09:30:00-05:00,2025-01-07,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,True,False,True,,2,sec_exhibit;sec_primary_filing,2,2
NTLA_8-K_2025-01-10_0001193125-25-004080,NTLA,original,trial_discontinuation,2025-01-10 12:30:22,2025-01-10,2025-01-10T12:30:22+00:00,2025-01-10T12:30:22+00:00,2025-01-10T12:30:22+00:00,2025-01-10T12:30:22+00:00,sec_acceptance_time,before_open,2025-01-10T09:30:00-05:00,2025-01-10,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
DNLI_8-K_2025-03-05_0001714899-25-000072,DNLI,fresh,phase_3_readout,2025-03-05 22:26:35,2025-03-05,2025-03-05T22:26:35+00:00,,2025-03-05T22:26:35+00:00,2025-03-05T22:26:35+00:00,sec_acceptance_time,after_close,2025-03-06T09:30:00-05:00,2025-03-06,high,original_reaction_window_started_before_first_tradable,True,False,True,,1,sec_primary_filing,1,1
PRTA_8-K_2025-05-23_0001193125-25-125881,PRTA,original,trial_discontinuation,2025-05-23 20:33:24,2025-05-27,2025-05-23T20:33:24+00:00,2025-05-23T20:33:24+00:00,2025-05-23T20:33:24+00:00,2025-05-23T20:33:24+00:00,sec_acceptance_time,after_close,2025-05-27T09:30:00-04:00,2025-05-27,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
RCKT_8-K_2025-05-27_0001140361-25-020409,RCKT,original,trial_halt,2025-05-27 11:40:06,2025-05-27,2025-05-27T11:40:06+00:00,2025-05-27T11:40:06+00:00,2025-05-27T11:40:06+00:00,2025-05-27T11:40:06+00:00,sec_acceptance_time,before_open,2025-05-27T09:30:00-04:00,2025-05-27,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
