dataset_split,group_name,group_value,horizon,n,expected_direction,mean_car_sector_adj,median_car_sector_adj,winsorized_mean_car_sector_adj_5_95,negative_rate,positive_rate,sign_accuracy,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
fresh,biotech_catalyst_event_type,fda_complete_response_letter,3,5,negative,-0.3823965263782103,-0.0146087826396989,-0.39570933165639804,0.6,0.4,0.6,-0.11426740833160867,-0.014502592108297963,0.6382032151858816
fresh,biotech_catalyst_event_type,phase_2_readout,3,2,negative,-0.054410219536816344,-0.054410219536816344,-0.05441021953681635,1.0,0.0,1.0,-0.05212212579335296,-0.05212212579335296,0.054410219536816344
fresh,biotech_catalyst_event_type,trial_discontinuation,3,2,negative,-0.1336132649961025,-0.1336132649961025,-0.1336132649961025,1.0,0.0,1.0,-0.12506494882206354,-0.12506494882206354,0.1336132649961025
fresh,biotech_catalyst_event_type,endpoint_failure,3,1,negative,-0.4997312410918033,-0.4997312410918033,-0.4997312410918033,1.0,0.0,1.0,-0.3933063078622474,-0.3933063078622474,0.4997312410918033
fresh,biotech_catalyst_event_type,trial_halt,3,1,negative,0.094033696167304,0.094033696167304,0.094033696167304,0.0,1.0,0.0,0.0985967637938423,0.0985967637938423,0.094033696167304
fresh,market_cap_bucket,small_300m_2b,3,12,negative,-0.2573789154341873,-0.12089739857065875,-0.28082335817464305,0.9166666666666666,0.08333333333333333,0.9166666666666666,-0.15126080951438306,-0.1138407673829876,0.3601523764888824
fresh,market_cap_bucket,mid_2b_10b,3,11,negative,-0.0417911100852933,-0.0124371720865113,-0.03808942214148378,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.036896360051649264,-0.01236015010430902,0.07091095265091468
fresh,market_cap_bucket,micro_lt_300m,3,4,negative,-0.39500795327138644,-0.1375739421381746,-0.3563928516014047,0.75,0.25,0.75,-0.2278998491403355,-0.1285300895960671,0.44202480135503847
fresh,negative_catalyst_family,endpoint_failure_or_trial_failure,3,10,negative,-0.2038997426724459,-0.09317615945877225,-0.18138616867388996,0.7,0.3,0.7,-0.1512500866041163,-0.08896231568379004,0.21592008599168638
fresh,negative_catalyst_family,major_safety_signal,3,9,negative,-0.11156756853262312,-0.1001136426604825,-0.11137209856155345,0.8888888888888888,0.1111111111111111,0.8888888888888888,-0.0996908921947322,-0.0952654042529203,0.128719004493447
fresh,negative_catalyst_family,complete_response_letter,3,5,negative,-0.3823965263782103,-0.0146087826396989,-0.39570933165639804,0.6,0.4,0.6,-0.11426740833160867,-0.014502592108297963,0.6382032151858816
fresh,negative_catalyst_family,trial_halt_or_discontinuation,3,3,negative,-0.057730944608300326,-0.129703684236894,-0.06492821857115971,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.05051104461676159,-0.12164433700821731,0.120420075386503
fresh,trial_phase,phase_3,3,8,negative,-0.24813310669242644,-0.1375739421381746,-0.22122792097373856,0.875,0.125,0.875,-0.1906392688913378,-0.1285300895960671,0.2550409057975336
fresh,trial_phase,phase_2_3,3,5,negative,-0.02200415083356712,0.0006122787100304,-0.02222769435562684,0.4,0.6,0.4,-0.018892634522196895,0.000612466190901273,0.06586494363335972
fresh,trial_phase,unknown,3,5,negative,-0.2547481853377649,-0.0146087826396989,-0.24253132240786351,0.6,0.4,0.6,-0.057022263834771714,-0.014502592108297963,0.5105548741454362
fresh,trial_phase,phase_2,3,4,negative,-0.2881899223000897,-0.054410219536816344,-0.2531229668855987,0.75,0.25,0.75,-0.17129487953482395,-0.05212212579335296,0.33520677038374175
fresh,trial_phase,phase_1_2,3,3,negative,-0.13980014372456026,-0.0437900556954922,-0.13019913492165347,1.0,0.0,1.0,-0.12141288731499485,-0.042845114402786044,0.13980014372456026
fresh,trial_phase,phase_1,3,1,negative,-0.0752032415594843,-0.0752032415594843,-0.0752032415594843,1.0,0.0,1.0,-0.0724450505444969,-0.0724450505444969,0.0752032415594843
fresh,trial_phase,pivotal,3,1,negative,-0.1120911129044235,-0.1120911129044235,-0.1120911129044235,1.0,0.0,1.0,-0.10603719775775788,-0.10603719775775788,0.1120911129044235
